Equipe,Nom,Poste,Date de naissance,Taille,Poids
Pau,Lucas POINTUD,Pilier,18/01/1988,189,127
Pau,Malik HAMADACHE,Pilier,17/10/1988,193,141
Pau,Mohamed BOUGHANMI,Pilier,27/10/1991,194,126
Pau,Nicolas CORATO,Pilier,07/10/1997,184,120
Pau,Siegfried FISI'IHOI,Pilier,06/08/1987,184,125
Pau,Lucas REY,Talonneur,27/04/1997,175,95
Pau,Quentin LESPIAUCQ-BRETTES,Talonneur,16/02/1995,180,95
Pau,Dan MALAFOSSE,2ème ligne,14/01/1992,195,121
Pau,Daniel RAMSAY,2ème ligne,01/06/1984,197,114
Pau,Denis MARCHOIS,2ème ligne,05/02/1994,198,115
Pau,Fabrice METZ,2ème ligne,23/01/1991,196,121
Pau,Julien DELANNOY,2ème ligne,15/06/1995,198,123
Pau,Antoine ERBANI,3ème ligne,07/02/1990,192,100
Pau,Baptiste PESENTI,3ème ligne,03/07/1997,195,118
Pau,Clément FOURNIER,3ème ligne,06/05/2000,190,105
Pau,Dominiko WAQANIBUROTU,3ème ligne,20/04/1986,193,114
Pau,Giovanni HABEL-KUEFFNER,3ème ligne,09/01/1995,190,110
Pau,Lekima TAGITAGIVALU,3ème ligne,12/12/1995,193,109
Pau,Luke WHITELOCK,3ème ligne,29/01/1991,190,116
Pau,Martin PUECH,3ème ligne,14/12/1988,193,95
Pau,Matthieu UGENA,3ème ligne,25/07/1995,186,106
Pau,Pierrick GUNTHER,3ème ligne,16/10/1989,190,106
Pau,Clovis LE BAIL,Mêlée,29/11/1995,173,74
Pau,Samuel MARQUÈS,Mêlée,08/12/1988,177,76
Pau,Thibault DAUBAGNA,Mêlée,20/05/1994,177,80
Pau,Antoine HASTOY,Ouverture,04/06/1997,180,86
Pau,Colin SLADE,Ouverture,10/10/1987,183,90
Pau,Tom TAYLOR,Ouverture,11/03/1989,183,90
Pau,Alexandre DUMOULIN,Centre,24/08/1989,189,101
Pau,Atila SEPTAR,Centre,02/06/1996,195,99
Pau,Benson STANLEY,Centre,11/09/1984,184,98
Pau,Florian NICOT,Centre,30/09/1986,184,95
Pau,Jale VATUBUA,Centre,30/08/1991,189,121
Pau,Julien FUMAT,Centre,26/03/1987,180,83
Pau,Pierre NUENO,Centre,15/05/1996,184,90
Pau,Bastien POURAILLY,Ailier,31/01/1994,177,80
Pau,Ben SMITH,Ailier,01/06/1986,186,94
Pau,Vincent PINTO,Ailier,10/04/1999,187,93
Pau,Watisoni VOTU,Ailier,25/03/1985,187,100
Pau,Charly MALIÉ,Arrière,05/11/1991,185,87
Pau,Jesse MOGG,Arrière,08/06/1989,187,90
Racing92,Ali OZ,Pilier,28/05/1995,193,140
Racing92,Ben TAMEIFUNA,Pilier,30/08/1991,182,140
Racing92,Cedate GOMES SA,Pilier,07/08/1993,185,113
Racing92,Eddy BEN AROUS,Pilier,25/08/1990,183,117
Racing92,Georges-Henri COLOMBE,Pilier,09/04/1998,193,133
Racing92,Hassane KOLINGAR,Pilier,06/03/1998,186,116
Racing92,Vasil KAKOVIN,Pilier,01/12/1989,183,110
Racing92,Camille CHAT,Talonneur,18/12/1995,178,101
Racing92,Issam HAMEL,Talonneur,18/06/1997,180,110
Racing92,Kévin LE GUEN,Talonneur,17/11/1990,183,105
Racing92,Teddy BAUBIGNY,Talonneur,02/09/1998,187,111
Racing92,Dominic BIRD,2ème ligne,09/04/1991,206,115
Racing92,Donnacha RYAN,2ème ligne,11/12/1983,201,114
Racing92,Leone NAKARAWA,2ème ligne,04/02/1988,200,125
Racing92,Antonie CLAASSEN,3ème ligne,20/10/1984,191,106
Racing92,Baptiste CHOUZENOUX,3ème ligne,07/08/1993,202,107
Racing92,Bernard LE ROUX,3ème ligne,04/06/1989,196,113
Racing92,Boris PALU,3ème ligne,04/02/1996,193,109
Racing92,Fabien SANCONNIE,3ème ligne,21/02/1995,195,110
Racing92,Ibrahim DIALLO,3ème ligne,23/01/1998,193,109
Racing92,Jordan JOSEPH,3ème ligne,31/07/2000,189,115
Racing92,Wenceslas LAURET,3ème ligne,28/03/1989,188,103
Racing92,Yoan TANGA-MANGENE,3ème ligne,29/11/1996,185,108
Racing92,Antoine GIBERT,Mêlée,31/12/1997,177,76
Racing92,Maxime MACHENAUD,Mêlée,30/12/1988,174,87
Racing92,Sam HIDALGO-CLYNE,Mêlée,04/08/1993,175,76
Racing92,Teddy IRIBAREN,Mêlée,25/09/1990,170,70
Racing92,Ben VOLAVOLA,Ouverture,13/01/1991,191,93
Racing92,Finn RUSSELL,Ouverture,23/09/1992,183,87
Racing92,François TRINH-DUC,Ouverture,11/11/1986,186,90
Racing92,Joaquin DIAZ BONILLA,Ouverture,12/04/1989,177,80
Racing92,Henry CHAVANCY,Centre,22/05/1988,181,92
Racing92,Léonard PARIS,Centre,20/03/1996,180,92
Racing92,Olivier KLEMENCZAK,Centre,01/06/1996,181,81
Racing92,Virimi VAKATAWA,Centre,01/05/1992,185,98
Racing92,Dorian LABORDE,Ailier,30/12/1996,178,107
Racing92,Juan IMHOFF,Ailier,11/05/1988,185,90
Racing92,Simon ZEBO,Ailier,16/03/1990,187,94
Racing92,Teddy THOMAS,Ailier,18/09/1993,185,90
Racing92,Brice DULIN,Arrière,13/04/1990,176,82
Racing92,Louis DUPICHOT,Arrière,23/09/1995,183,86
Toulon,Beka GIGASHVILI,Pilier,17/02/1992,177,114
Toulon,Bruce DEVAUX,Pilier,14/11/1996,183,108
Toulon,Florian FRESIA,Pilier,17/01/1992,185,110
Toulon,Jean-Baptiste GROS,Pilier,29/05/1999,187,110
Toulon,Marcel VAN DER MERWE,Pilier,24/10/1990,188,120
Toulon,Sébastien TAOFIFENUA,Pilier,21/03/1992,178,130
Toulon,Wilco LOUW,Pilier,20/07/1994,185,133
Toulon,Anthony ÉTRILLARD,Talonneur,21/03/1993,183,110
Toulon,Bastien SOURY,Talonneur,18/03/1995,180,105
Toulon,Christopher TOLOFUA,Talonneur,31/12/1993,182,117
Toulon,Brian ALAINU'UESE,2ème ligne,19/03/1994,202,135
Toulon,Corentin VERNET,2ème ligne,27/09/1996,200,127
Toulon,Eben ETZEBETH,2ème ligne,29/10/1991,203,117
Toulon,Mamuka GORGODZE,2ème ligne,14/07/1984,196,120
Toulon,Romain TAOFIFENUA,2ème ligne,14/09/1990,200,127
Toulon,Swan REBBADJ,2ème ligne,15/01/1995,202,116
Toulon,Charles OLLIVON,3ème ligne,11/05/1993,199,114
Toulon,Facundo ISA,3ème ligne,21/09/1993,188,111
Toulon,Liam MESSAM,3ème ligne,25/03/1984,190,109
Toulon,Raphaël LAKAFIA,3ème ligne,28/10/1988,191,115
Toulon,Sergio PARISSE,3ème ligne,12/09/1983,196,122
Toulon,Stéphane ONAMBÉLÉ,3ème ligne,12/02/1993,188,94
Toulon,Thomas HOARAU,3ème ligne,01/06/1995,190,112
Toulon,Anthony MÉRIC,Mêlée,15/02/1995,177,77
Toulon,Baptiste SERIN,Mêlée,20/06/1994,180,79
Toulon,Louis SCHREUDER,Mêlée,25/04/1990,184,82
Toulon,Rhys WEBB,Mêlée,09/12/1988,183,93
Toulon,Anthony BELLEAU,Ouverture,08/04/1996,177,85
Toulon,Louis CARBONEL,Ouverture,04/02/1999,180,85
Toulon,Mathieu SMAÏLI,Ouverture,30/08/1999,180,84
Toulon,Ben TE'O,Centre,27/01/1987,188,105
Toulon,Duncan PAIA'AUA,Centre,20/01/1995,180,91
Toulon,Julian SAVEA,Centre,07/08/1990,192,108
Toulon,Julien HÉRITEAU,Centre,12/09/1994,181,90
Toulon,Théo DACHARY,Centre,26/03/1997,184,92
Toulon,Bryce HEEM ,Ailier,18/01/1989,193,105
Toulon,Daniel IKPEFAN,Ailier,18/10/1993,185,92
Toulon,Gabin VILLIÈRE,Ailier,13/12/1995,180,87
Toulon,Masivesi DAKUWAQA,Ailier,14/02/1994,190,105
Toulon,Gervais CORDIN,Arrière,10/12/1998,172,73
Toulon,Hugo BONNEVAL,Arrière,19/11/1990,185,90
Toulon,Nehe MILNER-SKUDDER,Arrière,15/12/1990,182,90
Toulouse,Charlie FAUMUINA,Pilier,24/12/1986,184,128
Toulouse,Clément CASTETS,Pilier,05/05/1996,183,110
Toulouse,Cyril BAILLE,Pilier,15/09/1993,182,116
Toulouse,Dorian ALDEGHERI,Pilier,04/08/1993,180,119
Toulouse,Maks VAN DYK,Pilier,21/01/1992,186,118
Toulouse,Paulo TAFILI,Pilier,15/02/1996,183,132
Toulouse,Rémy HUGUES,Pilier,01/01/1986,183,114
Toulouse,Rodrigue NETI,Pilier,26/04/1995,185,124
Toulouse,Guillaume CRAMONT,Talonneur,29/12/2000,182,97
Toulouse,Guillaume MARCHAND,Talonneur,05/06/1998,183,100
Toulouse,Jaco VISAGIE,Talonneur,08/07/1992,188,105
Toulouse,Julien MARCHAND,Talonneur,10/05/1995,181,95
Toulouse,Takeshi HINO,Talonneur,20/01/1990,172,100
Toulouse,Bastien CHALUREAU,2ème ligne,13/02/1992,202,121
Toulouse,Florian VERHAEGHE,2ème ligne,27/04/1997,202,108
Toulouse,Iosefa TEKORI,2ème ligne,17/12/1983,198,127
Toulouse,Richie ARNOLD,2ème ligne,01/07/1990,208,127
Toulouse,Richie GRAY,2ème ligne,24/08/1989,206,125
Toulouse,Rory ARNOLD,2ème ligne,01/07/1990,208,120
Toulouse,Alban PLACINES,3ème ligne,23/04/1993,189,110
Toulouse,Antoine MIQUEL,3ème ligne,20/06/1994,192,109
Toulouse,Carl AXTENS,3ème ligne,26/08/1991,193,117
Toulouse,François CROS,3ème ligne,25/03/1994,190,95
Toulouse,Gillian GALAN,3ème ligne,07/08/1991,193,120
Toulouse,Jerome KAINO,3ème ligne,06/04/1983,196,113
Toulouse,Louis-Benoît MADAULE,3ème ligne,24/09/1988,190,104
Toulouse,Rynhardt ELSTADT,3ème ligne,20/12/1989,198,120
Toulouse,Selevasio TOLOFUA,3ème ligne,31/05/1997,186,115
Toulouse,Antoine DUPONT,Mêlée,15/11/1996,174,82
Toulouse,Pierre PAGÈS,Mêlée,16/05/1990,180,78
Toulouse,Sébastien BÉZY,Mêlée,22/11/1991,174,74
Toulouse,Romain NTAMACK,Ouverture,01/05/1999,186,84
Toulouse,Tristan TEDDER,Ouverture,17/04/1996,180,80
Toulouse,Zack HOLMES,Ouverture,30/05/1990,175,90
Toulouse,Maxime MERMOZ,Centre,28/07/1986,181,93
Toulouse,Pierre FOUYSSAC,Centre,17/03/1995,190,100
Toulouse,Pita AHKI,Centre,24/09/1992,189,97
Toulouse,Théo BELAN,Centre,15/11/1992,187,94
Toulouse,Arthur BONNEVAL,Ailier,31/05/1995,181,82
Toulouse,Cheslin KOLBE,Ailier,28/10/1993,171,80
Toulouse,Lucas TAUZIN,Ailier,21/05/1998,187,98
Toulouse,Sofiane GUITOUNE,Ailier,27/03/1989,186,96
Toulouse,Werner KOK,Ailier,27/01/1993,177,78
Toulouse,Yoann HUGET,Ailier,02/06/1987,190,97
Toulouse,Matthis LEBEL,Arrière,25/03/1999,185,91
Toulouse,Maxime MÉDARD,Arrière,16/11/1986,180,85
Toulouse,Thomas RAMOS,Arrière,23/07/1995,178,86
